time_stamp,noise_floor_db
2026-01-13T15:25:16.354665,-115.57
2026-01-13T15:25:16.854509,-115.59
2026-01-13T15:25:17.354697,-115.61
2026-01-13T15:25:17.854330,-115.61
2026-01-13T15:25:18.354020,-115.58
2026-01-13T15:25:18.953209,-112.96
2026-01-13T15:25:19.453054,-108.49
2026-01-13T15:25:19.953269,-108.65
2026-01-13T15:25:20.452711,-108.51
2026-01-13T15:25:20.952747,-108.46
2026-01-13T15:25:21.452513,-108.45
2026-01-13T15:25:21.952338,-108.49
2026-01-13T15:25:22.452651,-108.42
2026-01-13T15:25:22.952014,-108.66
2026-01-13T15:25:23.451890,-64.97
2026-01-13T15:25:23.951726,-63.11
2026-01-13T15:25:24.451640,-63.09
2026-01-13T15:25:24.951868,-63.14
2026-01-13T15:25:25.451285,-63.13
2026-01-13T15:25:25.951046,-63.13
2026-01-13T15:25:26.451049,-63.12
2026-01-13T15:25:26.950726,-63.21
2026-01-13T15:25:27.450557,-63.18
2026-01-13T15:25:27.950419,-63.32
2026-01-13T15:25:28.450236,-63.35
2026-01-13T15:25:28.950132,-63.48
2026-01-13T15:25:29.447933,-63.59
2026-01-13T15:25:29.948176,-63.56
2026-01-13T15:25:30.447611,-63.51
2026-01-13T15:25:30.947552,-63.45
2026-01-13T15:25:31.447253,-63.38
2026-01-13T15:25:31.948979,-63.45
2026-01-13T15:25:32.446930,-63.29
2026-01-13T15:25:32.946828,-63.30
2026-01-13T15:25:33.446653,-63.31
2026-01-13T15:25:33.946567,-63.19
2026-01-13T15:25:34.446394,-63.13
2026-01-13T15:25:34.946553,-63.00
2026-01-13T15:25:35.445919,-62.99
2026-01-13T15:25:35.945777,-62.98
2026-01-13T15:25:36.445639,-62.96
2026-01-13T15:25:36.945501,-63.00
2026-01-13T15:25:37.445339,-63.09
2026-01-13T15:25:37.945195,-63.16
2026-01-13T15:25:38.445013,-63.08
2026-01-13T15:25:38.944980,-63.15
2026-01-13T15:25:39.444729,-63.22
2026-01-13T15:25:39.944839,-63.20
2026-01-13T15:25:40.444328,-63.37
2026-01-13T15:25:40.944317,-63.38
2026-01-13T15:25:41.442072,-63.48
2026-01-13T15:25:41.941978,-63.57
2026-01-13T15:25:42.441697,-63.46
2026-01-13T15:25:42.941595,-63.41
2026-01-13T15:25:43.441424,-63.22
2026-01-13T15:25:43.941368,-63.19
2026-01-13T15:25:44.441134,-63.25
2026-01-13T15:25:44.941403,-63.14
2026-01-13T15:25:45.440695,-63.11
2026-01-13T15:25:45.940545,-63.16
2026-01-13T15:25:46.440383,-63.05
2026-01-13T15:25:46.940242,-62.99
2026-01-13T15:25:47.440041,-62.90
2026-01-13T15:25:47.941422,-62.90
2026-01-13T15:25:48.439866,-63.08
2026-01-13T15:25:48.939567,-62.97
2026-01-13T15:25:49.439518,-63.21
2026-01-13T15:25:49.939479,-63.27
2026-01-13T15:25:50.439094,-63.28
2026-01-13T15:25:50.938976,-63.40
2026-01-13T15:25:51.438850,-63.51
2026-01-13T15:25:51.939631,-63.49
2026-01-13T15:25:52.438428,-63.51
2026-01-13T15:25:52.936336,-63.60
2026-01-13T15:25:53.436155,-63.55
2026-01-13T15:25:53.935978,-63.57
2026-01-13T15:25:54.435959,-63.62
2026-01-13T15:25:54.936078,-63.45
2026-01-13T15:25:55.435473,-63.40
2026-01-13T15:25:55.935351,-63.32
2026-01-13T15:25:56.435905,-63.14
2026-01-13T15:25:56.935086,-63.05
2026-01-13T15:25:57.434826,-63.02
2026-01-13T15:25:57.934692,-63.05
2026-01-13T15:25:58.434628,-63.11
2026-01-13T15:25:58.934365,-63.09
2026-01-13T15:25:59.434300,-63.01
2026-01-13T15:25:59.934223,-62.96
2026-01-13T15:26:00.433864,-62.99
2026-01-13T15:26:00.933823,-63.00
2026-01-13T15:26:01.433569,-63.09
2026-01-13T15:26:01.933417,-63.13
2026-01-13T15:26:02.433190,-63.23
2026-01-13T15:26:02.933017,-63.35
2026-01-13T15:26:03.432948,-63.31
2026-01-13T15:26:03.932807,-63.38
2026-01-13T15:26:04.430558,-63.32
2026-01-13T15:26:04.930396,-63.29
2026-01-13T15:26:05.430350,-63.32
2026-01-13T15:26:05.930074,-63.28
2026-01-13T15:26:06.429956,-63.25
2026-01-13T15:26:06.929758,-63.35
2026-01-13T15:26:07.429755,-63.21
2026-01-13T15:26:07.929552,-63.11
2026-01-13T15:26:08.429289,-63.00
2026-01-13T15:26:08.929692,-62.89
2026-01-13T15:26:09.428965,-62.84
2026-01-13T15:26:09.928812,-62.90
2026-01-13T15:26:10.428666,-63.12
2026-01-13T15:26:10.928482,-63.16
2026-01-13T15:26:11.429952,-63.30
2026-01-13T15:26:11.928075,-63.20
