time_stamp,lat,lon,alt
2026-01-13T07:26:39.552000,24.9422215,121.3694562,50.19
2026-01-13T07:26:40.054000,24.9422215,121.3694562,50.19
2026-01-13T07:26:40.554000,24.9424366,121.3692810,47.23
2026-01-13T07:26:41.055000,24.9424366,121.3692810,47.23
2026-01-13T07:26:41.556000,24.9426414,121.3690931,45.27
2026-01-13T07:26:42.057000,24.9426414,121.3690931,45.27
2026-01-13T07:26:42.558000,24.9428400,121.3689370,43.34
2026-01-13T07:26:43.059000,24.9428400,121.3689370,43.34
2026-01-13T07:26:43.559000,24.9429195,121.3687168,41.38
2026-01-13T07:26:44.060000,24.9429195,121.3687168,41.38
2026-01-13T07:26:44.562000,24.9430151,121.3685735,39.08
2026-01-13T07:26:45.063000,24.9430151,121.3685735,39.08
2026-01-13T07:26:45.563000,24.9430128,121.3685553,40.14
2026-01-13T07:26:46.063000,24.9430128,121.3685553,40.14
2026-01-13T07:26:46.564000,24.9430220,121.3685500,40.23
2026-01-13T07:26:47.065000,24.9430220,121.3685500,40.23
2026-01-13T07:26:47.566000,24.9430379,121.3685687,40.30
2026-01-13T07:26:48.066000,24.9430379,121.3685687,40.30
2026-01-13T07:26:48.567000,24.9430495,121.3685852,40.41
2026-01-13T07:26:49.068000,24.9430495,121.3685852,40.41
2026-01-13T07:26:49.569000,24.9430529,121.3685970,40.38
2026-01-13T07:26:50.069000,24.9430529,121.3685970,40.38
2026-01-13T07:26:50.571000,24.9430528,121.3686035,40.30
2026-01-13T07:26:51.072000,24.9430509,121.3686098,40.19
2026-01-13T07:26:51.572000,24.9430509,121.3686098,40.19
2026-01-13T07:26:52.072000,24.9430504,121.3686063,40.06
2026-01-13T07:26:52.573000,24.9430504,121.3686063,40.06
2026-01-13T07:26:53.074000,24.9430504,121.3686063,40.06
2026-01-13T07:26:53.574000,24.9430499,121.3686006,39.92
2026-01-13T07:26:54.075000,24.9430499,121.3686006,39.92
2026-01-13T07:26:54.576000,24.9430521,121.3685982,39.93
2026-01-13T07:26:55.076000,24.9430521,121.3685982,39.93
2026-01-13T07:26:55.576000,24.9430532,121.3685963,39.96
2026-01-13T07:26:56.076000,24.9430532,121.3685963,39.96
2026-01-13T07:26:56.577000,24.9430544,121.3685945,39.98
2026-01-13T07:26:57.077000,24.9430544,121.3685945,39.98
2026-01-13T07:26:57.578000,24.9430544,121.3685939,40.02
2026-01-13T07:26:58.078000,24.9430544,121.3685939,40.02
2026-01-13T07:26:58.578000,24.9430543,121.3685939,40.05
2026-01-13T07:26:59.079000,24.9430543,121.3685939,40.05
2026-01-13T07:26:59.579000,24.9430539,121.3685939,40.05
2026-01-13T07:27:00.080000,24.9430539,121.3685939,40.05
2026-01-13T07:27:00.580000,24.9430539,121.3685939,40.05
2026-01-13T07:27:01.080000,24.9430539,121.3685939,40.05
2026-01-13T07:27:01.581000,24.9430537,121.3685931,39.97
2026-01-13T07:27:02.082000,24.9430537,121.3685931,39.97
2026-01-13T07:27:02.583000,24.9430535,121.3685922,39.90
2026-01-13T07:27:03.084000,24.9430535,121.3685922,39.90
2026-01-13T07:27:03.585000,24.9430533,121.3685913,39.84
2026-01-13T07:27:04.086000,24.9430533,121.3685913,39.84
2026-01-13T07:27:04.587000,24.9430531,121.3685905,39.78
2026-01-13T07:27:05.088000,24.9430531,121.3685905,39.78
2026-01-13T07:27:05.589000,24.9430526,121.3685898,39.75
2026-01-13T07:27:06.090000,24.9430526,121.3685898,39.75
2026-01-13T07:27:06.591000,24.9430519,121.3685902,39.79
2026-01-13T07:27:07.092000,24.9430513,121.3685908,39.83
2026-01-13T07:27:07.593000,24.9430513,121.3685908,39.83
2026-01-13T07:27:08.094000,24.9430507,121.3685914,39.84
2026-01-13T07:27:08.594000,24.9430507,121.3685914,39.84
2026-01-13T07:27:09.095000,24.9430502,121.3685920,39.85
2026-01-13T07:27:09.596000,24.9430502,121.3685920,39.85
2026-01-13T07:27:10.096000,24.9430502,121.3685920,39.85
2026-01-13T07:27:10.597000,24.9430500,121.3685925,39.82
2026-01-13T07:27:11.098000,24.9430514,121.3685950,39.90
2026-01-13T07:27:11.599000,24.9430514,121.3685950,39.90
2026-01-13T07:27:12.100000,24.9430534,121.3685995,40.09
2026-01-13T07:27:12.601000,24.9430534,121.3685995,40.09
2026-01-13T07:27:13.101000,24.9430546,121.3686038,40.25
2026-01-13T07:27:13.602000,24.9430546,121.3686038,40.25
2026-01-13T07:27:14.103000,24.9430552,121.3686080,40.34
2026-01-13T07:27:14.604000,24.9430552,121.3686080,40.34
2026-01-13T07:27:15.104000,24.9430561,121.3686142,40.51
2026-01-13T07:27:15.604000,24.9430561,121.3686142,40.51
2026-01-13T07:27:16.105000,24.9430557,121.3686172,40.62
2026-01-13T07:27:16.606000,24.9430557,121.3686172,40.62
2026-01-13T07:27:17.107000,24.9430557,121.3686187,40.70
2026-01-13T07:27:17.608000,24.9430557,121.3686187,40.70
2026-01-13T07:27:18.109000,24.9430520,121.3686207,40.87
2026-01-13T07:27:18.610000,24.9430520,121.3686207,40.87
2026-01-13T07:27:19.111000,24.9430471,121.3686217,41.14
2026-01-13T07:27:19.612000,24.9430471,121.3686217,41.14
2026-01-13T07:27:20.112000,24.9430407,121.3686177,41.36
2026-01-13T07:27:20.613000,24.9430407,121.3686177,41.36
2026-01-13T07:27:21.113000,24.9430333,121.3686136,41.37
2026-01-13T07:27:21.614000,24.9430333,121.3686136,41.37
2026-01-13T07:27:22.115000,24.9430259,121.3686070,41.24
2026-01-13T07:27:22.616000,24.9430259,121.3686070,41.24
2026-01-13T07:27:23.116000,24.9430223,121.3685958,41.12
2026-01-13T07:27:23.616000,24.9430223,121.3685958,41.12
2026-01-13T07:27:24.117000,24.9430215,121.3685875,41.04
2026-01-13T07:27:24.618000,24.9430215,121.3685875,41.04
2026-01-13T07:27:25.119000,24.9430227,121.3685823,40.92
2026-01-13T07:27:25.620000,24.9430227,121.3685823,40.92
2026-01-13T07:27:26.121000,24.9430169,121.3685691,41.03
2026-01-13T07:27:26.622000,24.9430169,121.3685691,41.03
2026-01-13T07:27:27.123000,24.9430118,121.3685599,41.15
2026-01-13T07:27:27.624000,24.9430118,121.3685599,41.15
2026-01-13T07:27:28.124000,24.9430074,121.3685537,41.15
2026-01-13T07:27:28.625000,24.9430074,121.3685537,41.15
2026-01-13T07:27:29.126000,24.9430041,121.3685418,41.05
2026-01-13T07:27:29.627000,24.9430041,121.3685418,41.05
2026-01-13T07:27:30.128000,24.9430041,121.3685325,40.88
2026-01-13T07:27:30.629000,24.9430041,121.3685325,40.88
2026-01-13T07:27:31.130000,24.9430112,121.3685314,40.66
2026-01-13T07:27:31.631000,24.9430112,121.3685314,40.66
2026-01-13T07:27:32.132000,24.9430162,121.3685284,40.48
2026-01-13T07:27:32.633000,24.9430162,121.3685284,40.48
2026-01-13T07:27:33.134000,24.9430209,121.3685285,40.35
2026-01-13T07:27:33.634000,24.9430209,121.3685285,40.35
2026-01-13T07:27:34.136000,24.9430234,121.3685316,40.26
2026-01-13T07:27:34.637000,24.9430234,121.3685316,40.26
2026-01-13T07:27:35.137000,24.9430205,121.3685322,40.22
2026-01-13T07:27:35.638000,24.9430205,121.3685322,40.22
2026-01-13T07:27:36.139000,24.9430175,121.3685324,40.19
2026-01-13T07:27:36.640000,24.9430175,121.3685324,40.19
2026-01-13T07:27:37.140000,24.9430163,121.3685307,40.18
2026-01-13T07:27:37.640000,24.9430163,121.3685307,40.18
2026-01-13T07:27:38.141000,24.9430153,121.3685214,40.18
2026-01-13T07:27:38.643000,24.9430153,121.3685214,40.18
2026-01-13T07:27:39.144000,24.9430125,121.3685069,40.19
2026-01-13T07:27:39.645000,24.9430125,121.3685069,40.19
2026-01-13T07:27:40.146000,24.9430113,121.3684878,40.19
2026-01-13T07:27:40.647000,24.9430113,121.3684878,40.19
2026-01-13T07:27:41.148000,24.9430104,121.3684641,40.19
2026-01-13T07:27:41.649000,24.9430104,121.3684641,40.19
2026-01-13T07:27:42.150000,24.9430080,121.3684418,40.18
2026-01-13T07:27:42.651000,24.9430080,121.3684418,40.18
2026-01-13T07:27:43.151000,24.9430064,121.3684242,40.15
2026-01-13T07:27:43.652000,24.9430064,121.3684242,40.15
2026-01-13T07:27:44.152000,24.9430078,121.3684164,40.11
2026-01-13T07:27:44.653000,24.9430078,121.3684164,40.11
2026-01-13T07:27:45.154000,24.9430028,121.3684010,40.09
2026-01-13T07:27:45.654000,24.9430028,121.3684010,40.09
2026-01-13T07:27:46.154000,24.9430006,121.3683876,40.08
2026-01-13T07:27:46.656000,24.9430006,121.3683876,40.08
2026-01-13T07:27:47.157000,24.9430035,121.3683912,40.10
2026-01-13T07:27:47.658000,24.9430035,121.3683912,40.10
2026-01-13T07:27:48.159000,24.9430080,121.3684044,40.16
2026-01-13T07:27:48.660000,24.9430080,121.3684044,40.16
2026-01-13T07:27:49.161000,24.9430065,121.3684260,40.24
2026-01-13T07:27:49.661000,24.9430065,121.3684260,40.24
2026-01-13T07:27:50.162000,24.9430103,121.3684603,40.28
2026-01-13T07:27:50.663000,24.9430103,121.3684603,40.28
2026-01-13T07:27:51.164000,24.9430155,121.3684959,40.36
2026-01-13T07:27:51.664000,24.9430155,121.3684959,40.36
2026-01-13T07:27:52.165000,24.9430194,121.3685148,40.44
2026-01-13T07:27:52.666000,24.9430194,121.3685148,40.44
2026-01-13T07:27:53.166000,24.9430312,121.3685286,40.51
2026-01-13T07:27:53.667000,24.9430312,121.3685286,40.51
2026-01-13T07:27:54.167000,24.9430608,121.3685390,40.60
2026-01-13T07:27:54.668000,24.9430608,121.3685390,40.60
2026-01-13T07:27:55.168000,24.9430953,121.3685472,40.68
2026-01-13T07:27:55.669000,24.9430953,121.3685472,40.68
2026-01-13T07:27:56.170000,24.9431304,121.3685575,40.74
2026-01-13T07:27:56.671000,24.9431304,121.3685575,40.74
2026-01-13T07:27:57.172000,24.9431650,121.3685625,40.80
2026-01-13T07:27:57.673000,24.9431650,121.3685625,40.80
2026-01-13T07:27:58.174000,24.9431896,121.3685601,40.84
2026-01-13T07:27:58.675000,24.9431896,121.3685601,40.84
2026-01-13T07:27:59.176000,24.9432005,121.3685465,40.85
2026-01-13T07:27:59.677000,24.9432005,121.3685465,40.85
2026-01-13T07:28:00.178000,24.9432067,121.3685327,40.91
2026-01-13T07:28:00.678000,24.9432067,121.3685327,40.91
2026-01-13T07:28:01.179000,24.9432085,121.3685163,40.94
2026-01-13T07:28:01.680000,24.9432085,121.3685163,40.94
2026-01-13T07:28:02.180000,24.9432070,121.3685044,40.98
