time_stamp,lat,lon,alt
2026-01-13T07:14:02.337000,24.9424511,121.3693248,50.11
2026-01-13T07:14:02.839000,24.9425029,121.3692847,47.68
2026-01-13T07:14:03.340000,24.9425029,121.3692847,47.68
2026-01-13T07:14:03.841000,24.9425877,121.3692140,45.57
2026-01-13T07:14:04.342000,24.9425877,121.3692140,45.57
2026-01-13T07:14:04.843000,24.9426796,121.3691267,43.40
2026-01-13T07:14:05.344000,24.9426796,121.3691267,43.40
2026-01-13T07:14:05.845000,24.9427761,121.3689786,41.12
2026-01-13T07:14:06.346000,24.9427761,121.3689786,41.12
2026-01-13T07:14:06.847000,24.9428619,121.3688471,39.05
2026-01-13T07:14:07.348000,24.9428619,121.3688471,39.05
2026-01-13T07:14:07.849000,24.9429284,121.3687401,39.35
2026-01-13T07:14:08.350000,24.9429284,121.3687401,39.35
2026-01-13T07:14:08.850000,24.9429890,121.3686586,39.32
2026-01-13T07:14:09.351000,24.9429890,121.3686586,39.32
2026-01-13T07:14:09.853000,24.9429890,121.3686586,39.32
2026-01-13T07:17:53.111000,24.9429890,121.3686586,39.32
2026-01-13T07:17:53.611000,24.9422454,121.3689188,47.98
2026-01-13T07:17:54.112000,24.9422454,121.3689188,47.98
2026-01-13T07:17:54.613000,24.9422454,121.3689188,47.98
2026-01-13T07:17:55.114000,24.9422454,121.3689188,47.98
2026-01-13T07:17:55.615000,24.9422454,121.3689188,47.98
2026-01-13T07:17:56.116000,24.9421230,121.3688336,52.65
2026-01-13T07:17:56.617000,24.9421230,121.3688336,52.65
2026-01-13T07:17:57.117000,24.9421230,121.3688336,52.65
2026-01-13T07:17:57.618000,24.9421998,121.3686716,50.82
2026-01-13T07:17:58.118000,24.9421998,121.3686716,50.82
2026-01-13T07:17:58.618000,24.9421998,121.3686716,50.82
2026-01-13T07:17:59.119000,24.9421998,121.3686716,50.82
2026-01-13T07:17:59.620000,24.9423539,121.3683479,46.78
2026-01-13T07:18:00.120000,24.9423539,121.3683479,46.78
2026-01-13T07:18:00.620000,24.9423539,121.3683479,46.78
2026-01-13T07:18:01.121000,24.9423539,121.3683479,46.78
2026-01-13T07:18:01.622000,24.9424259,121.3681839,40.13
2026-01-13T07:18:02.123000,24.9424279,121.3681654,39.88
2026-01-13T07:18:02.625000,24.9424279,121.3681654,39.88
2026-01-13T07:18:03.125000,24.9424279,121.3681654,39.88
2026-01-13T07:18:03.626000,24.9424279,121.3681654,39.88
2026-01-13T07:18:04.127000,24.9424268,121.3681197,39.78
2026-01-13T07:18:04.628000,24.9424268,121.3681197,39.78
2026-01-13T07:18:05.129000,24.9424258,121.3680975,39.81
2026-01-13T07:18:05.630000,24.9424258,121.3680975,39.81
2026-01-13T07:18:06.130000,24.9424245,121.3680744,39.86
2026-01-13T07:18:06.631000,24.9424245,121.3680744,39.86
2026-01-13T07:18:07.131000,24.9424156,121.3680690,39.95
2026-01-13T07:18:07.632000,24.9424156,121.3680690,39.95
2026-01-13T07:18:08.132000,24.9424062,121.3680613,40.03
2026-01-13T07:18:08.632000,24.9424062,121.3680613,40.03
2026-01-13T07:18:09.133000,24.9423970,121.3680546,40.09
2026-01-13T07:18:09.633000,24.9423970,121.3680546,40.09
2026-01-13T07:18:10.133000,24.9423882,121.3680472,40.13
2026-01-13T07:18:10.634000,24.9423882,121.3680472,40.13
2026-01-13T07:18:11.134000,24.9423826,121.3680337,40.17
2026-01-13T07:18:11.635000,24.9423826,121.3680337,40.17
2026-01-13T07:18:12.135000,24.9423797,121.3680114,40.22
2026-01-13T07:18:12.635000,24.9423797,121.3680114,40.22
2026-01-13T07:18:13.136000,24.9423770,121.3679892,40.28
2026-01-13T07:18:13.636000,24.9423770,121.3679892,40.28
2026-01-13T07:18:14.137000,24.9423743,121.3679650,40.38
2026-01-13T07:18:14.637000,24.9423743,121.3679650,40.38
2026-01-13T07:18:15.137000,24.9423703,121.3679416,40.52
2026-01-13T07:18:15.638000,24.9423703,121.3679416,40.52
2026-01-13T07:18:16.139000,24.9423629,121.3679254,40.68
2026-01-13T07:18:16.640000,24.9423629,121.3679254,40.68
2026-01-13T07:18:17.140000,24.9423525,121.3679148,40.85
2026-01-13T07:18:17.641000,24.9423525,121.3679148,40.85
2026-01-13T07:18:18.141000,24.9423408,121.3679106,41.02
2026-01-13T07:18:18.642000,24.9423408,121.3679106,41.02
2026-01-13T07:18:19.142000,24.9423280,121.3679094,41.16
2026-01-13T07:18:19.642000,24.9423280,121.3679094,41.16
