time_stamp,noise_floor_db
2026-01-13T15:13:35.573724,-115.65
2026-01-13T15:13:36.073638,-115.69
2026-01-13T15:13:36.573541,-115.67
2026-01-13T15:13:37.071428,-115.66
2026-01-13T15:13:37.573789,-115.65
2026-01-13T15:13:38.072372,-115.66
2026-01-13T15:13:38.571009,-115.66
2026-01-13T15:13:39.070832,-115.66
2026-01-13T15:13:39.570663,-115.66
2026-01-13T15:13:40.169637,-116.99
2026-01-13T15:13:40.669052,-115.40
2026-01-13T15:13:41.169144,-115.41
2026-01-13T15:13:41.668825,-115.42
2026-01-13T15:13:42.168683,-115.44
2026-01-13T15:13:42.668997,-115.44
2026-01-13T15:13:43.168379,-115.43
2026-01-13T15:13:43.668269,-115.42
2026-01-13T15:13:44.168246,-71.46
2026-01-13T15:13:44.668096,-66.59
2026-01-13T15:13:45.168268,-66.65
2026-01-13T15:13:45.667773,-66.51
2026-01-13T15:13:46.167580,-66.45
2026-01-13T15:13:46.670044,-66.59
2026-01-13T15:13:47.167623,-66.71
2026-01-13T15:13:47.667337,-66.86
2026-01-13T15:13:48.167644,-66.61
2026-01-13T15:13:48.666960,-66.36
2026-01-13T15:13:49.166933,-66.18
2026-01-13T15:13:49.666766,-66.48
2026-01-13T15:13:50.166653,-66.29
2026-01-13T15:13:50.664567,-66.17
2026-01-13T15:13:51.164297,-66.08
2026-01-13T15:13:51.664307,-65.78
2026-01-13T15:13:52.164316,-65.70
2026-01-13T15:13:52.665249,-65.53
2026-01-13T15:13:53.163874,-65.35
2026-01-13T15:13:53.663755,-65.18
2026-01-13T15:13:54.163604,-65.21
2026-01-13T15:13:54.663601,-65.18
2026-01-13T15:13:55.163341,-65.29
2026-01-13T15:13:55.663256,-65.45
2026-01-13T15:13:56.163209,-65.67
2026-01-13T15:13:56.663020,-65.57
2026-01-13T15:13:57.163224,-65.58
2026-01-13T15:13:57.663818,-65.77
2026-01-13T15:13:58.162690,-65.68
2026-01-13T15:13:58.662545,-65.84
2026-01-13T15:13:59.162324,-65.96
2026-01-13T15:13:59.662557,-65.79
2026-01-13T15:14:00.162093,-65.77
2026-01-13T15:14:00.662002,-65.94
2026-01-13T15:14:01.161883,-66.04
2026-01-13T15:14:01.661915,-66.19
2026-01-13T15:14:02.159942,-65.83
2026-01-13T15:14:02.659704,-65.86
2026-01-13T15:14:03.159412,-65.58
2026-01-13T15:14:03.659333,-65.93
2026-01-13T15:14:04.159178,-66.70
2026-01-13T15:14:04.659385,-66.62
2026-01-13T15:14:05.158932,-65.91
2026-01-13T15:14:05.658829,-66.18
2026-01-13T15:14:06.158662,-64.37
2026-01-13T15:14:06.658863,-63.19
2026-01-13T15:14:07.159291,-63.03
2026-01-13T15:14:07.658726,-63.10
2026-01-13T15:14:08.158211,-63.15
2026-01-13T15:14:08.658154,-63.29
2026-01-13T15:14:09.157996,-63.28
2026-01-13T15:14:09.658825,-63.38
2026-01-13T15:14:10.157777,-63.31
2026-01-13T15:14:10.657858,-63.13
2026-01-13T15:14:11.157537,-63.10
2026-01-13T15:14:11.657410,-62.95
2026-01-13T15:14:12.158147,-63.04
2026-01-13T15:14:12.657192,-63.07
2026-01-13T15:14:13.157371,-62.96
2026-01-13T15:14:13.657031,-62.96
2026-01-13T15:14:14.154923,-63.01
2026-01-13T15:14:14.654839,-63.01
2026-01-13T15:14:15.154671,-62.95
2026-01-13T15:14:15.654934,-63.00
2026-01-13T15:14:16.154456,-63.01
2026-01-13T15:14:16.654395,-63.14
2026-01-13T15:14:17.154539,-63.20
2026-01-13T15:14:17.654102,-63.06
2026-01-13T15:14:18.153991,-63.13
